incident_id,system,system_version,category,symptom,created_at,baseline_resolved_at,baseline_ttr_minutes,assisted_resolved_at,assisted_ttr_minutes,resolution,resolution_source,recurring_group,knowledge_article_id,resolution_success,feedback_score,dataset_label
RDS-5162,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-03-23T18:00:00,2025-03-23T18:50:12,50.2,2025-03-23T18:21:54,21.9,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.71,SYNTHETIC_BENCHMARK
RDS-5055,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-06-04T11:00:00,2025-06-04T11:45:42,45.7,2025-06-04T11:12:24,12.4,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.78,SYNTHETIC_BENCHMARK
RDS-5112,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-03-04T09:00:00,2025-03-04T09:28:24,28.4,2025-03-04T09:14:00,14.0,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.87,SYNTHETIC_BENCHMARK
RDS-5286,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-01-15T09:00:00,2025-01-15T09:53:30,53.5,2025-01-15T09:19:06,19.1,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.92,SYNTHETIC_BENCHMARK
RDS-5292,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-03-09T20:00:00,2025-03-09T20:39:06,39.1,2025-03-09T20:19:42,19.7,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,0,0.29,SYNTHETIC_BENCHMARK
RDS-5154,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-03-18T17:00:00,2025-03-18T17:45:18,45.3,2025-03-18T17:20:36,20.6,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.83,SYNTHETIC_BENCHMARK
RDS-5052,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-02-10T15:00:00,2025-02-10T15:49:30,49.5,2025-02-10T15:18:24,18.4,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,1.0,SYNTHETIC_BENCHMARK
RDS-5098,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-02-16T08:00:00,2025-02-16T08:30:36,30.6,2025-02-16T08:13:54,13.9,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.8,SYNTHETIC_BENCHMARK
RDS-5263,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-04-06T11:00:00,2025-04-06T11:43:30,43.5,2025-04-06T11:14:12,14.2,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.8,SYNTHETIC_BENCHMARK
RDS-5009,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-01-12T18:00:00,2025-01-12T18:24:12,24.2,2025-01-12T18:10:54,10.9,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.77,SYNTHETIC_BENCHMARK
RDS-5192,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-03-12T11:00:00,2025-03-12T11:58:54,58.9,2025-03-12T11:24:18,24.3,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.73,SYNTHETIC_BENCHMARK
RDS-5026,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-03-20T11:00:00,2025-03-20T11:19:36,19.6,2025-03-20T11:16:48,16.8,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,0,0.23,SYNTHETIC_BENCHMARK
RDS-5123,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-02-02T12:00:00,2025-02-02T12:21:24,21.4,2025-02-02T12:09:36,9.6,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.98,SYNTHETIC_BENCHMARK
RDS-5187,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-01-30T09:00:00,2025-01-30T09:33:12,33.2,2025-01-30T09:19:00,19.0,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.81,SYNTHETIC_BENCHMARK
RDS-5125,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-04-23T13:00:00,2025-04-23T13:25:30,25.5,2025-04-23T13:09:36,9.6,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,0,0.34,SYNTHETIC_BENCHMARK
RDS-5100,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-01-05T19:00:00,2025-01-05T19:39:48,39.8,2025-01-05T19:22:00,22.0,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.9,SYNTHETIC_BENCHMARK
RDS-5287,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-02-10T08:00:00,2025-02-10T08:35:00,35.0,2025-02-10T08:22:06,22.1,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.71,SYNTHETIC_BENCHMARK
RDS-5164,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-04-22T09:00:00,2025-04-22T09:51:36,51.6,2025-04-22T09:21:12,21.2,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.75,SYNTHETIC_BENCHMARK
RDS-5194,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-02-02T20:00:00,2025-02-02T20:44:48,44.8,2025-02-02T20:12:54,12.9,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.76,SYNTHETIC_BENCHMARK
RDS-5038,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-04-29T11:00:00,2025-04-29T11:41:36,41.6,2025-04-29T11:08:48,8.8,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.96,SYNTHETIC_BENCHMARK
RDS-5078,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-07-08T10:00:00,2025-07-08T10:43:42,43.7,2025-07-08T10:13:24,13.4,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.89,SYNTHETIC_BENCHMARK
RDS-5152,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-05-11T19:00:00,2025-05-11T19:55:48,55.8,2025-05-11T19:23:12,23.2,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.94,SYNTHETIC_BENCHMARK
RDS-5115,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-05-23T08:00:00,2025-05-23T08:35:30,35.5,2025-05-23T08:11:06,11.1,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.82,SYNTHETIC_BENCHMARK
RDS-5134,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-06-19T20:00:00,2025-06-19T20:48:00,48.0,2025-06-19T20:13:42,13.7,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.89,SYNTHETIC_BENCHMARK
RDS-5246,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-06-04T10:00:00,2025-06-04T10:23:18,23.3,2025-06-04T10:11:42,11.7,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.8,SYNTHETIC_BENCHMARK
RDS-5183,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-06-22T19:00:00,2025-06-22T19:48:30,48.5,2025-06-22T19:19:36,19.6,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.98,SYNTHETIC_BENCHMARK
RDS-5060,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-02-02T08:00:00,2025-02-02T08:32:12,32.2,2025-02-02T08:20:48,20.8,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.96,SYNTHETIC_BENCHMARK
RDS-5102,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-06-09T10:00:00,2025-06-09T10:27:12,27.2,2025-06-09T10:14:12,14.2,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.98,SYNTHETIC_BENCHMARK
RDS-5017,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-05-30T14:00:00,2025-05-30T14:42:12,42.2,2025-05-30T14:12:00,12.0,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,1.0,SYNTHETIC_BENCHMARK
RDS-5045,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-05-16T10:00:00,2025-05-16T10:19:30,19.5,2025-05-16T10:13:06,13.1,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.72,SYNTHETIC_BENCHMARK
RDS-5300,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-05-28T09:00:00,2025-05-28T09:34:24,34.4,2025-05-28T09:17:48,17.8,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.84,SYNTHETIC_BENCHMARK
RDS-5161,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-04-12T18:00:00,2025-04-12T18:27:48,27.8,2025-04-12T18:16:18,16.3,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.86,SYNTHETIC_BENCHMARK
RDS-5047,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-05-29T17:00:00,2025-05-29T17:19:06,19.1,2025-05-29T17:08:48,8.8,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.87,SYNTHETIC_BENCHMARK
RDS-5197,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-02-03T08:00:00,2025-02-03T08:37:30,37.5,2025-02-03T08:22:12,22.2,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.7,SYNTHETIC_BENCHMARK
RDS-5023,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-02-15T16:00:00,2025-02-15T16:42:36,42.6,2025-02-15T16:16:42,16.7,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.89,SYNTHETIC_BENCHMARK
RDS-5244,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-06-23T17:00:00,2025-06-23T17:16:18,16.3,2025-06-23T17:12:00,12.0,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.8,SYNTHETIC_BENCHMARK
RDS-5106,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-01-20T17:00:00,2025-01-20T17:40:42,40.7,2025-01-20T17:15:54,15.9,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.93,SYNTHETIC_BENCHMARK
RDS-5171,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-02-20T14:00:00,2025-02-20T14:54:54,54.9,2025-02-20T14:13:24,13.4,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.81,SYNTHETIC_BENCHMARK
RDS-5114,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-04-01T20:00:00,2025-04-01T20:27:48,27.8,2025-04-01T20:12:06,12.1,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.96,SYNTHETIC_BENCHMARK
RDS-5137,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-03-11T16:00:00,2025-03-11T16:36:12,36.2,2025-03-11T16:13:48,13.8,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.97,SYNTHETIC_BENCHMARK
RDS-5239,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-04-09T15:00:00,2025-04-09T15:29:30,29.5,2025-04-09T15:14:36,14.6,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.71,SYNTHETIC_BENCHMARK
RDS-5097,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-06-01T17:00:00,2025-06-01T17:43:54,43.9,2025-06-01T17:11:00,11.0,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.96,SYNTHETIC_BENCHMARK
RDS-5242,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-06-15T10:00:00,2025-06-15T10:16:00,16.0,2025-06-15T10:12:42,12.7,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,0,0.36,SYNTHETIC_BENCHMARK
RDS-5151,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-05-04T15:00:00,2025-05-04T15:33:30,33.5,2025-05-04T15:19:12,19.2,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.98,SYNTHETIC_BENCHMARK
RDS-5189,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-04-17T18:00:00,2025-04-17T18:28:30,28.5,2025-04-17T18:18:24,18.4,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.99,SYNTHETIC_BENCHMARK
RDS-5181,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-02-27T18:00:00,2025-02-27T18:50:18,50.3,2025-02-27T18:24:42,24.7,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,0,0.44,SYNTHETIC_BENCHMARK
RDS-5257,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-02-19T13:00:00,2025-02-19T13:53:42,53.7,2025-02-19T13:21:36,21.6,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.93,SYNTHETIC_BENCHMARK
RDS-5070,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-06-05T16:00:00,2025-06-05T16:25:48,25.8,2025-06-05T16:20:48,20.8,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.71,SYNTHETIC_BENCHMARK
RDS-5018,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-05-11T15:00:00,2025-05-11T15:20:30,20.5,2025-05-11T15:08:30,8.5,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.89,SYNTHETIC_BENCHMARK
RDS-5008,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-03-17T18:00:00,2025-03-17T18:34:42,34.7,2025-03-17T18:16:36,16.6,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.91,SYNTHETIC_BENCHMARK
RDS-5147,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-02-03T12:00:00,2025-02-03T12:33:06,33.1,2025-02-03T12:16:42,16.7,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.99,SYNTHETIC_BENCHMARK
RDS-5241,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-04-26T09:00:00,2025-04-26T09:35:18,35.3,2025-04-26T09:13:42,13.7,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,0,0.23,SYNTHETIC_BENCHMARK
RDS-5071,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-04-22T08:00:00,2025-04-22T08:39:12,39.2,2025-04-22T08:19:42,19.7,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.98,SYNTHETIC_BENCHMARK
RDS-5027,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-05-05T09:00:00,2025-05-05T09:44:24,44.4,2025-05-05T09:13:18,13.3,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.9,SYNTHETIC_BENCHMARK
RDS-5240,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-05-27T18:00:00,2025-05-27T18:19:42,19.7,2025-05-27T18:11:48,11.8,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.99,SYNTHETIC_BENCHMARK
RDS-5020,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-03-06T16:00:00,2025-03-06T16:41:12,41.2,2025-03-06T16:08:06,8.1,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.9,SYNTHETIC_BENCHMARK
RDS-5179,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-03-11T10:00:00,2025-03-11T10:34:00,34.0,2025-03-11T10:22:42,22.7,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.94,SYNTHETIC_BENCHMARK
RDS-5200,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-06-07T08:00:00,2025-06-07T08:50:30,50.5,2025-06-07T08:23:48,23.8,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.79,SYNTHETIC_BENCHMARK
RDS-5057,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-03-12T08:00:00,2025-03-12T08:22:06,22.1,2025-03-12T08:19:18,19.3,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.78,SYNTHETIC_BENCHMARK
RDS-5109,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-04-18T15:00:00,2025-04-18T15:23:12,23.2,2025-04-18T15:19:36,19.6,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.95,SYNTHETIC_BENCHMARK
RDS-5272,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-05-10T16:00:00,2025-05-10T16:30:42,30.7,2025-05-10T16:26:06,26.1,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.82,SYNTHETIC_BENCHMARK
RDS-5110,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-07-01T10:00:00,2025-07-01T10:33:06,33.1,2025-07-01T10:17:06,17.1,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,0,0.28,SYNTHETIC_BENCHMARK
RDS-5092,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-06-28T08:00:00,2025-06-28T08:50:18,50.3,2025-06-28T08:19:12,19.2,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.7,SYNTHETIC_BENCHMARK
RDS-5005,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-02-10T19:00:00,2025-02-10T19:29:24,29.4,2025-02-10T19:10:48,10.8,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.93,SYNTHETIC_BENCHMARK
RDS-5219,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-06-02T09:00:00,2025-06-02T09:37:06,37.1,2025-06-02T09:08:12,8.2,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.71,SYNTHETIC_BENCHMARK
RDS-5157,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-03-23T19:00:00,2025-03-23T19:41:36,41.6,2025-03-23T19:23:54,23.9,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,1.0,SYNTHETIC_BENCHMARK
RDS-5202,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-05-06T19:00:00,2025-05-06T19:37:42,37.7,2025-05-06T19:07:36,7.6,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.88,SYNTHETIC_BENCHMARK
RDS-5080,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-01-12T11:00:00,2025-01-12T11:54:30,54.5,2025-01-12T11:17:18,17.3,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.84,SYNTHETIC_BENCHMARK
RDS-5238,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-03-15T09:00:00,2025-03-15T09:31:06,31.1,2025-03-15T09:14:48,14.8,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.88,SYNTHETIC_BENCHMARK
RDS-5170,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-05-31T12:00:00,2025-05-31T12:47:24,47.4,2025-05-31T12:17:30,17.5,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.95,SYNTHETIC_BENCHMARK
RDS-5267,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-05-16T14:00:00,2025-05-16T14:33:54,33.9,2025-05-16T14:17:18,17.3,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.71,SYNTHETIC_BENCHMARK
RDS-5232,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-03-31T19:00:00,2025-03-31T19:39:00,39.0,2025-03-31T19:12:12,12.2,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.73,SYNTHETIC_BENCHMARK
RDS-5205,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-01-30T18:00:00,2025-01-30T18:31:18,31.3,2025-01-30T18:13:12,13.2,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.76,SYNTHETIC_BENCHMARK
RDS-5007,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-01-12T19:00:00,2025-01-12T19:30:24,30.4,2025-01-12T19:09:12,9.2,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.72,SYNTHETIC_BENCHMARK
RDS-5030,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-06-16T13:00:00,2025-06-16T13:29:48,29.8,2025-06-16T13:13:12,13.2,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.77,SYNTHETIC_BENCHMARK
RDS-5210,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-06-21T09:00:00,2025-06-21T09:25:18,25.3,2025-06-21T09:14:00,14.0,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,0,0.33,SYNTHETIC_BENCHMARK
RDS-5140,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-01-11T20:00:00,2025-01-11T20:42:42,42.7,2025-01-11T20:14:12,14.2,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.97,SYNTHETIC_BENCHMARK
RDS-5139,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-05-28T17:00:00,2025-05-28T17:48:30,48.5,2025-05-28T17:20:00,20.0,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.78,SYNTHETIC_BENCHMARK
RDS-5228,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-01-06T13:00:00,2025-01-06T13:19:18,19.3,2025-01-06T13:14:36,14.6,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.91,SYNTHETIC_BENCHMARK
